relation test,relation train,#evolve,#rel_test,percentage
Reject,Veto,0,87,0.0
Reject,Halt mediation,0,87,0.0
Reject,Reduce or stop humanitarian assistance,3,87,0.034482758620689655
Reject,Reject military cooperation,1,87,0.011494252873563218
Reject,Threaten to reduce or stop aid,0,87,0.0
Reject,"Appeal for easing of economic sanctions, boycott, or embargo",1,87,0.011494252873563218
Reject,Threaten to halt negotiations,0,87,0.0
Make statement,Refuse to de-escalate military engagement,0,1500,0.0
Make statement,Use tactics of violent repression,2,1500,0.0013333333333333333
Make statement,Appeal to others to settle dispute,0,1500,0.0
Make statement,Express intent to change policy,1,1500,0.0006666666666666666
Make statement,Accede to demands for change in policy,1,1500,0.0006666666666666666
Make statement,Express intent to de-escalate military engagement,6,1500,0.004
Make statement,"Express intent to ease economic sanctions, boycott, or embargo",15,1500,0.01
Make statement,Mobilize or increase police power,21,1500,0.014
Make statement,Demonstrate military or police power,9,1500,0.006
Make statement,Express intent to cooperate militarily,2,1500,0.0013333333333333333
Make statement,Demand that target yields,1,1500,0.0006666666666666666
Make statement,"Accede to demands for change in institutions, regime",3,1500,0.002
Make statement,Veto,0,1500,0.0
Make statement,Demand policy change,1,1500,0.0006666666666666666
Make statement,Reject economic cooperation,0,1500,0.0
Make statement,Accede to requests or demands for political reform,0,1500,0.0
Make statement,Destroy property,0,1500,0.0
Make statement,Increase police alert status,16,1500,0.010666666666666666
Make statement,Violate ceasefire,0,1500,0.0
Make statement,"Express intent to change institutions, regime",1,1500,0.0006666666666666666
Make statement,Demand military aid,0,1500,0.0
Make statement,Seize or damage property,2,1500,0.0013333333333333333
Make statement,Reject military cooperation,2,1500,0.0013333333333333333
Make statement,Threaten to reduce or stop aid,2,1500,0.0013333333333333333
Make statement,Carry out car bombing,0,1500,0.0
Make statement,Threaten to halt mediation,0,1500,0.0
Make statement,Express intent to institute political reform,0,1500,0.0
Make statement,"Appeal for easing of economic sanctions, boycott, or embargo",0,1500,0.0
Make statement,Engage in mass expulsion,0,1500,0.0
Make statement,Engage in violent protest for rights,0,1500,0.0
Make statement,Reject judicial cooperation,0,1500,0.0
Consult,Discuss by telephone,861,977,0.8812691914022518
Consult,Meet at a 'third' location,379,977,0.38792221084953943
Consult,Express intent to settle dispute,32,977,0.032753326509723645
Consult,"Express intent to ease economic sanctions, boycott, or embargo",0,977,0.0
Consult,"Ease economic sanctions, boycott, embargo",1,977,0.0010235414534288639
Consult,Ease state of emergency or martial law,0,977,0.0
Consult,"Accede to demands for change in institutions, regime",1,977,0.0010235414534288639
Consult,Demand policy change,0,977,0.0
Consult,Express intent to cooperate on intelligence,2,977,0.0020470829068577278
Consult,Demand material aid,0,977,0.0
Consult,"Express intent to change institutions, regime",1,977,0.0010235414534288639
Consult,"Appeal for easing of economic sanctions, boycott, or embargo",1,977,0.0010235414534288639
Consult,Engage in mass expulsion,0,977,0.0
Consult,Reject judicial cooperation,1,977,0.0010235414534288639
Sign formal agreement,"Express intent to ease economic sanctions, boycott, or embargo",7,129,0.05426356589147287
Sign formal agreement,Express intent to cooperate militarily,4,129,0.031007751937984496
Sign formal agreement,"Express intent to change institutions, regime",0,129,0.0
Sign formal agreement,Demand military aid,0,129,0.0
Sign formal agreement,"Appeal for easing of economic sanctions, boycott, or embargo",0,129,0.0
Engage in negotiation,"Express intent to ease economic sanctions, boycott, or embargo",17,194,0.08762886597938144
Engage in negotiation,"Accede to demands for change in institutions, regime",0,194,0.0
Engage in negotiation,Halt mediation,0,194,0.0
Engage in negotiation,"Appeal for easing of economic sanctions, boycott, or embargo",0,194,0.0
Engage in negotiation,Engage in mass expulsion,0,194,0.0
Engage in negotiation,Reject judicial cooperation,1,194,0.005154639175257732
Engage in diplomatic cooperation,Accede to demands for change in policy,1,142,0.007042253521126761
Engage in diplomatic cooperation,"Express intent to ease economic sanctions, boycott, or embargo",0,142,0.0
Engage in diplomatic cooperation,Express intent to cooperate militarily,11,142,0.07746478873239436
Engage in diplomatic cooperation,Accede to demands for rights,0,142,0.0
Engage in diplomatic cooperation,Appeal for target to allow international involvement (non-mediation),0,142,0.0
Engage in diplomatic cooperation,"Express intent to change institutions, regime",2,142,0.014084507042253521
Engage in diplomatic cooperation,Reject request for military protection or peacekeeping,0,142,0.0
Engage in diplomatic cooperation,"Appeal for easing of economic sanctions, boycott, or embargo",0,142,0.0
Engage in diplomatic cooperation,Reject judicial cooperation,1,142,0.007042253521126761
Make an appeal or request,Express intent to provide humanitarian aid,13,629,0.02066772655007949
Make an appeal or request,Expel or withdraw peacekeepers,1,629,0.001589825119236884
Make an appeal or request,Appeal to others to settle dispute,3,629,0.0047694753577106515
Make an appeal or request,Demand easing of administrative sanctions,0,629,0.0
Make an appeal or request,Appeal for aid,24,629,0.03815580286168521
Make an appeal or request,Express intent to accept mediation,0,629,0.0
Make an appeal or request,Appeal for material cooperation,21,629,0.033386327503974564
Make an appeal or request,"Express intent to ease economic sanctions, boycott, or embargo",0,629,0.0
Make an appeal or request,"Ease economic sanctions, boycott, embargo",2,629,0.003179650238473768
Make an appeal or request,Express intent to provide military protection or peacekeeping,1,629,0.001589825119236884
Make an appeal or request,Halt mediation,0,629,0.0
Make an appeal or request,Appeal for military aid,83,629,0.13195548489666137
Make an appeal or request,Demand material cooperation,2,629,0.003179650238473768
Make an appeal or request,Demand policy change,3,629,0.0047694753577106515
Make an appeal or request,Reject economic cooperation,2,629,0.003179650238473768
Make an appeal or request,Demand rights,0,629,0.0
Make an appeal or request,Appeal to yield,1,629,0.001589825119236884
Make an appeal or request,Reduce or stop humanitarian assistance,7,629,0.011128775834658187
Make an appeal or request,Appeal for military protection or peacekeeping,0,629,0.0
Make an appeal or request,Accede to demands for rights,8,629,0.012718600953895072
Make an appeal or request,Threaten to reduce or break relations,0,629,0.0
Make an appeal or request,Demand material aid,1,629,0.001589825119236884
Make an appeal or request,Reject military cooperation,0,629,0.0
Make an appeal or request,Threaten to reduce or stop aid,0,629,0.0
Make an appeal or request,"Appeal for easing of economic sanctions, boycott, or embargo",0,629,0.0
Make an appeal or request,Threaten to halt negotiations,0,629,0.0
Make an appeal or request,Ease military blockade,0,629,0.0
Make an appeal or request,Reject judicial cooperation,1,629,0.001589825119236884
Threaten,Demand policy change,0,72,0.0
Threaten,Reduce or stop humanitarian assistance,0,72,0.0
Threaten,Appeal for military protection or peacekeeping,0,72,0.0
Threaten,Accede to demands for rights,2,72,0.027777777777777776
Threaten,Threaten to reduce or stop aid,0,72,0.0
Threaten,Carry out car bombing,0,72,0.0
Threaten,"Appeal for easing of economic sanctions, boycott, or embargo",2,72,0.027777777777777776
Threaten,Threaten to halt negotiations,0,72,0.0
Threaten,Ease military blockade,0,72,0.0
Engage in symbolic act,Demand material aid,0,43,0.0
Criticize or denounce,Refuse to de-escalate military engagement,0,309,0.0
Criticize or denounce,Accuse of war crimes,1,309,0.003236245954692557
Criticize or denounce,Express intent to change policy,0,309,0.0
Criticize or denounce,"Express intent to ease economic sanctions, boycott, or embargo",0,309,0.0
Criticize or denounce,Demand policy change,2,309,0.006472491909385114
Criticize or denounce,Reject economic cooperation,2,309,0.006472491909385114
Criticize or denounce,Demand rights,0,309,0.0
Criticize or denounce,Demand political reform,0,309,0.0
Criticize or denounce,Appeal for military protection or peacekeeping,0,309,0.0
Criticize or denounce,Accede to demands for rights,0,309,0.0
Criticize or denounce,"Appeal for easing of economic sanctions, boycott, or embargo",2,309,0.006472491909385114
Criticize or denounce,Threaten to halt negotiations,2,309,0.006472491909385114
Criticize or denounce,Reject judicial cooperation,0,309,0.0
Demand,Express intent to change policy,0,136,0.0
Demand,Appeal for material cooperation,1,136,0.007352941176470588
Demand,"Express intent to ease economic sanctions, boycott, or embargo",0,136,0.0
Demand,"Ease economic sanctions, boycott, embargo",0,136,0.0
Demand,Demand policy change,1,136,0.007352941176470588
Demand,Reject economic cooperation,1,136,0.007352941176470588
Demand,Demand judicial cooperation,1,136,0.007352941176470588
Demand,Demand rights,1,136,0.007352941176470588
Demand,Demand material aid,1,136,0.007352941176470588
Demand,Appeal for target to allow international involvement (non-mediation),0,136,0.0
Demand,Demand military aid,0,136,0.0
Demand,Reject military cooperation,0,136,0.0
Demand,"Appeal for easing of economic sanctions, boycott, or embargo",0,136,0.0
Demand,Reject judicial cooperation,0,136,0.0
Expel or deport individuals,Accede to demands for rights,0,13,0.0
Expel or deport individuals,Expel or withdraw,0,13,0.0
Accuse,Accede to demands for change in policy,0,268,0.0
Accuse,Demand material cooperation,2,268,0.007462686567164179
Accuse,Demand policy change,1,268,0.0037313432835820895
Accuse,Reject economic cooperation,1,268,0.0037313432835820895
Accuse,Demand judicial cooperation,2,268,0.007462686567164179
Accuse,Accede to requests or demands for political reform,0,268,0.0
Accuse,Demand rights,0,268,0.0
Accuse,Appeal for military protection or peacekeeping,1,268,0.0037313432835820895
Accuse,Accede to demands for rights,4,268,0.014925373134328358
Accuse,Reject request for military aid,0,268,0.0
Accuse,"Appeal for easing of economic sanctions, boycott, or embargo",1,268,0.0037313432835820895
Accuse,Engage in mass expulsion,0,268,0.0
Express intent to meet or negotiate,"Obstruct passage, block",1,495,0.00202020202020202
Express intent to meet or negotiate,"Express intent to ease economic sanctions, boycott, or embargo",10,495,0.020202020202020204
Express intent to meet or negotiate,Express intent to cooperate militarily,0,495,0.0
Express intent to meet or negotiate,"Ease economic sanctions, boycott, embargo",2,495,0.00404040404040404
Express intent to meet or negotiate,"Accede to demands for change in institutions, regime",0,495,0.0
Express intent to meet or negotiate,"Threaten with sanctions, boycott, embargo",0,495,0.0
Express intent to meet or negotiate,Reduce or stop humanitarian assistance,0,495,0.0
Express intent to meet or negotiate,Accede to demands for rights,0,495,0.0
Express intent to meet or negotiate,"Express intent to change institutions, regime",1,495,0.00202020202020202
Express intent to meet or negotiate,Threaten to reduce or stop aid,0,495,0.0
Express intent to meet or negotiate,"Appeal for easing of economic sanctions, boycott, or embargo",0,495,0.0
Express intent to meet or negotiate,Ease military blockade,0,495,0.0
Express intent to meet or negotiate,Reject judicial cooperation,2,495,0.00404040404040404
Express intent to provide humanitarian aid,Accede to demands for rights,0,10,0.0
Express intent to provide humanitarian aid,Appeal for target to allow international involvement (non-mediation),0,10,0.0
Reduce relations,Reject judicial cooperation,0,24,0.0
"Reject proposal to meet, discuss, or negotiate",Accede to demands for rights,0,6,0.0
"Reject proposal to meet, discuss, or negotiate","Appeal for easing of economic sanctions, boycott, or embargo",0,6,0.0
"Reject proposal to meet, discuss, or negotiate",Reject judicial cooperation,0,6,0.0
Use conventional military force,Use tactics of violent repression,92,191,0.4816753926701571
Use conventional military force,Impose state of emergency or martial law,5,191,0.02617801047120419
Use conventional military force,Increase police alert status,8,191,0.041884816753926704
Use conventional military force,"Use chemical, biological, or radiological weapons",0,191,0.0
Use conventional military force,"Express intent to change institutions, regime",1,191,0.005235602094240838
Use conventional military force,"Appeal for easing of economic sanctions, boycott, or embargo",1,191,0.005235602094240838
Use conventional military force,Threaten to halt negotiations,1,191,0.005235602094240838
Use conventional military force,Engage in mass expulsion,2,191,0.010471204188481676
Appeal to engage in or accept mediation,Demand policy change,0,6,0.0
Appeal to engage in or accept mediation,Reject economic cooperation,0,6,0.0
Praise or endorse,Appeal to others to settle dispute,5,343,0.014577259475218658
Praise or endorse,"Express intent to ease economic sanctions, boycott, or embargo",0,343,0.0
Praise or endorse,"Accede to demands for change in institutions, regime",0,343,0.0
Praise or endorse,Veto,4,343,0.011661807580174927
Praise or endorse,Demand political reform,0,343,0.0
Praise or endorse,Appeal for target to allow international involvement (non-mediation),3,343,0.008746355685131196
Praise or endorse,"Express intent to change institutions, regime",2,343,0.0058309037900874635
Praise or endorse,Demand military aid,0,343,0.0
Praise or endorse,Reject military cooperation,0,343,0.0
Praise or endorse,Engage in mass expulsion,0,343,0.0
Praise or endorse,Reject judicial cooperation,0,343,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Accede to demands for change in policy,0,163,0.0
Express intent to engage in diplomatic cooperation (such as policy support),"Express intent to ease economic sanctions, boycott, or embargo",2,163,0.012269938650306749
Express intent to engage in diplomatic cooperation (such as policy support),Express intent to cooperate militarily,2,163,0.012269938650306749
Express intent to engage in diplomatic cooperation (such as policy support),Reduce or stop military assistance,11,163,0.06748466257668712
Express intent to engage in diplomatic cooperation (such as policy support),Halt mediation,0,163,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Demand policy change,0,163,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Reject economic cooperation,0,163,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Demand rights,0,163,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Accede to demands for rights,7,163,0.04294478527607362
Express intent to engage in diplomatic cooperation (such as policy support),Appeal for target to allow international involvement (non-mediation),0,163,0.0
Express intent to engage in diplomatic cooperation (such as policy support),"Express intent to change institutions, regime",4,163,0.024539877300613498
Express intent to engage in diplomatic cooperation (such as policy support),"Appeal for easing of economic sanctions, boycott, or embargo",0,163,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Reject judicial cooperation,1,163,0.006134969325153374
Meet at a 'third' location,Reject judicial cooperation,0,70,0.0
Host a visit,Appeal for target to allow international involvement (non-mediation),0,432,0.0
Host a visit,"Express intent to change institutions, regime",1,432,0.0023148148148148147
Host a visit,Demand military aid,0,432,0.0
Host a visit,"Appeal for easing of economic sanctions, boycott, or embargo",0,432,0.0
Host a visit,Threaten to halt negotiations,0,432,0.0
Make a visit,Express intent to de-escalate military engagement,11,432,0.02546296296296296
Make a visit,"Express intent to ease economic sanctions, boycott, or embargo",43,432,0.09953703703703703
Make a visit,"Ease economic sanctions, boycott, embargo",32,432,0.07407407407407407
Make a visit,"Accede to demands for change in institutions, regime",3,432,0.006944444444444444
Make a visit,Halt mediation,0,432,0.0
Make a visit,"Express intent to change institutions, regime",1,432,0.0023148148148148147
Make a visit,Demand military aid,0,432,0.0
Make a visit,"Appeal for easing of economic sanctions, boycott, or embargo",4,432,0.009259259259259259
Make a visit,Threaten to halt negotiations,0,432,0.0
Make a visit,Reject judicial cooperation,0,432,0.0
Express intent to cooperate,Express intent to settle dispute,20,178,0.11235955056179775
Express intent to settle dispute,Reject judicial cooperation,0,5,0.0
Express intent to cooperate,"Express intent to ease economic sanctions, boycott, or embargo",3,178,0.016853932584269662
Express intent to cooperate,Halt mediation,0,178,0.0
Express intent to cooperate,Express intent to cooperate on intelligence,1,178,0.0056179775280898875
Express intent to cooperate,Accede to demands for rights,0,178,0.0
Express intent to cooperate,"Express intent to change institutions, regime",1,178,0.0056179775280898875
Express intent to cooperate,"Appeal for easing of economic sanctions, boycott, or embargo",1,178,0.0056179775280898875
Express intent to cooperate,Reject judicial cooperation,2,178,0.011235955056179775
Make optimistic comment,"Express intent to ease economic sanctions, boycott, or embargo",0,61,0.0
Make optimistic comment,"Ease economic sanctions, boycott, embargo",6,61,0.09836065573770492
Make optimistic comment,Veto,0,61,0.0
Make optimistic comment,Demand policy change,0,61,0.0
Make optimistic comment,Accede to demands for rights,0,61,0.0
Make optimistic comment,Reject military cooperation,1,61,0.01639344262295082
Make optimistic comment,Express intent to institute political reform,0,61,0.0
Make optimistic comment,Investigate human rights abuses,0,61,0.0
Make optimistic comment,"Appeal for easing of economic sanctions, boycott, or embargo",0,61,0.0
Make optimistic comment,Threaten to halt negotiations,0,61,0.0
Make optimistic comment,Reject judicial cooperation,0,61,0.0
Yield,Demand policy change,1,17,0.058823529411764705
Consider policy option,"Express intent to ease economic sanctions, boycott, or embargo",14,11,1.2727272727272727
Consider policy option,"Express intent to change institutions, regime",1,11,0.09090909090909091
Consider policy option,Reject judicial cooperation,0,11,0.0
Halt negotiations,"Appeal for easing of economic sanctions, boycott, or embargo",0,8,0.0
Appeal for diplomatic cooperation (such as policy support),Demand policy change,0,56,0.0
Appeal for diplomatic cooperation (such as policy support),Reject economic cooperation,0,56,0.0
Appeal for diplomatic cooperation (such as policy support),Reject military cooperation,0,56,0.0
Appeal for diplomatic cooperation (such as policy support),Use as human shield,0,56,0.0
Appeal for diplomatic cooperation (such as policy support),"Appeal for easing of economic sanctions, boycott, or embargo",0,56,0.0
Acknowledge or claim responsibility,Carry out car bombing,0,8,0.0
Acknowledge or claim responsibility,Carry out roadside bombing,0,8,0.0
Make pessimistic comment,"Express intent to ease economic sanctions, boycott, or embargo",0,52,0.0
Make pessimistic comment,Demand policy change,0,52,0.0
Make pessimistic comment,Appeal for military protection or peacekeeping,0,52,0.0
Make pessimistic comment,Accede to demands for rights,0,52,0.0
Make pessimistic comment,Demand material aid,0,52,0.0
Make pessimistic comment,Reject military cooperation,0,52,0.0
Make pessimistic comment,Reject judicial cooperation,0,52,0.0
Reduce or break diplomatic relations,Accede to demands for change in policy,3,15,0.2
Demonstrate or rally,"Obstruct passage, block",25,55,0.45454545454545453
Demonstrate or rally,"Protest violently, riot",275,55,5.0
Demonstrate or rally,Demand policy change,0,55,0.0
Demonstrate or rally,Reject economic cooperation,0,55,0.0
Demonstrate or rally,Reduce or stop humanitarian assistance,2,55,0.03636363636363636
Demonstrate or rally,Threaten to reduce or stop aid,2,55,0.03636363636363636
Demonstrate or rally,Engage in violent protest for rights,0,55,0.0
Demonstrate or rally,Ease military blockade,2,55,0.03636363636363636
Demonstrate or rally,Demonstrate for policy change,0,55,0.0
Demonstrate or rally,Obstruct passage to demand leadership change,0,55,0.0
Appeal for intelligence,"Express intent to ease economic sanctions, boycott, or embargo",15,9,1.6666666666666667
Appeal for intelligence,Demand policy change,0,9,0.0
Appeal for intelligence,Reject economic cooperation,0,9,0.0
"Impose embargo, boycott, or sanctions","Refuse to ease economic sanctions, boycott, or embargo",0,13,0.0
"Impose embargo, boycott, or sanctions","Express intent to ease economic sanctions, boycott, or embargo",0,13,0.0
"Reject plan, agreement to settle dispute","Express intent to ease economic sanctions, boycott, or embargo",0,6,0.0
"Reject plan, agreement to settle dispute",Demand military aid,0,6,0.0
"Reject plan, agreement to settle dispute","Appeal for easing of economic sanctions, boycott, or embargo",0,6,0.0
Make empathetic comment,Appeal for military protection or peacekeeping,0,30,0.0
Bring lawsuit against,Demand policy change,0,20,0.0
Bring lawsuit against,Reject economic cooperation,0,20,0.0
Bring lawsuit against,Appeal for military protection or peacekeeping,0,20,0.0
Occupy territory,Increase police alert status,0,28,0.0
Occupy territory,Carry out car bombing,5,28,0.17857142857142858
Occupy territory,"Appeal for easing of economic sanctions, boycott, or embargo",0,28,0.0
Occupy territory,Threaten to halt negotiations,0,28,0.0
Use unconventional violence,Carry out suicide bombing,67,219,0.3059360730593607
Use unconventional violence,Demand judicial cooperation,1,219,0.0045662100456621
Use unconventional violence,Carry out car bombing,6,219,0.0273972602739726
Use unconventional violence,Carry out roadside bombing,1,219,0.0045662100456621
Use unconventional violence,Use as human shield,1,219,0.0045662100456621
"Return, release person(s)",Express intent to release persons or property,13,40,0.325
"Return, release person(s)",Accede to demands for change in policy,0,40,0.0
"Return, release person(s)",Accede to demands for rights,2,40,0.05
"Return, release person(s)",Engage in mass expulsion,0,40,0.0
fight with small arms and light weapons,Accede to demands for rights,0,78,0.0
fight with small arms and light weapons,Use as human shield,0,78,0.0
fight with small arms and light weapons,"Appeal for easing of economic sanctions, boycott, or embargo",1,78,0.01282051282051282
fight with small arms and light weapons,Engage in mass expulsion,0,78,0.0
Threaten with military force,Attempt to assassinate,0,14,0.0
Threaten with military force,Reduce or stop humanitarian assistance,0,14,0.0
Threaten with military force,Threaten to reduce or stop aid,0,14,0.0
Threaten with military force,Carry out roadside bombing,0,14,0.0
Threaten with military force,"Appeal for easing of economic sanctions, boycott, or embargo",0,14,0.0
Threaten with military force,Threaten to halt negotiations,0,14,0.0
Threaten with military force,Ease military blockade,0,14,0.0
"Abduct, hijack, or take hostage",Use as human shield,0,56,0.0
"Abduct, hijack, or take hostage",Investigate human rights abuses,0,56,0.0
"Arrest, detain, or charge with legal action",Ease administrative sanctions,233,402,0.5796019900497512
"Arrest, detain, or charge with legal action",Accede to demands for rights,9,402,0.022388059701492536
"Arrest, detain, or charge with legal action",Use as human shield,0,402,0.0
"Protest violently, riot","Obstruct passage, block",46,46,1.0
"Obstruct passage, block",Reduce or stop humanitarian assistance,0,1,0.0
"Obstruct passage, block",Threaten to reduce or stop aid,0,1,0.0
"Obstruct passage, block",Ease military blockade,0,1,0.0
Provide aid,Reduce or stop military assistance,2,23,0.08695652173913043
Provide aid,Accede to demands for rights,6,23,0.2608695652173913
Provide aid,Demand material aid,0,23,0.0
Provide aid,Appeal for target to allow international involvement (non-mediation),0,23,0.0
Provide aid,"Express intent to change institutions, regime",1,23,0.043478260869565216
Provide aid,Investigate human rights abuses,0,23,0.0
Investigate,"Express intent to ease economic sanctions, boycott, or embargo",0,90,0.0
Investigate,Impose state of emergency or martial law,0,90,0.0
Investigate,"Impose blockade, restrict movement",1,90,0.011111111111111112
Investigate,Reduce or stop humanitarian assistance,0,90,0.0
Investigate,Accede to demands for rights,0,90,0.0
Investigate,Increase police alert status,6,90,0.06666666666666667
Investigate,Threaten to reduce or stop aid,0,90,0.0
Express intent to provide material aid,Reduce or stop military assistance,0,10,0.0
Express intent to provide material aid,Accede to demands for rights,0,10,0.0
Express intent to provide material aid,"Express intent to change institutions, regime",0,10,0.0
Employ aerial weapons,"Express intent to change institutions, regime",0,10,0.0
Express intent to release persons or property,Accede to demands for change in policy,0,11,0.0
Use tactics of violent repression,Engage in mass expulsion,2,27,0.07407407407407407
Receive deployment of peacekeepers,Demand military aid,0,2,0.0
Provide military protection or peacekeeping,Express intent to provide military protection or peacekeeping,2,3,0.6666666666666666
Give ultimatum,Demand policy change,0,2,0.0
Give ultimatum,Engage in mass expulsion,0,2,0.0
Deny responsibility,Reject judicial cooperation,0,27,0.0
fight with artillery and tanks,Carry out car bombing,0,3,0.0
fight with artillery and tanks,"Appeal for easing of economic sanctions, boycott, or embargo",0,3,0.0
fight with artillery and tanks,Threaten to halt negotiations,0,3,0.0
Cooperate economically,"Express intent to change institutions, regime",0,17,0.0
Cooperate economically,Reject judicial cooperation,0,17,0.0
Impose restrictions on political freedoms,Reduce or stop humanitarian assistance,4,11,0.36363636363636365
Impose restrictions on political freedoms,Threaten to reduce or stop aid,4,11,0.36363636363636365
Impose restrictions on political freedoms,Express intent to institute political reform,0,11,0.0
Impose restrictions on political freedoms,Ease military blockade,2,11,0.18181818181818182
Appeal for release of persons or property,Demand policy change,0,5,0.0
Appeal for release of persons or property,Reject economic cooperation,0,5,0.0
Appeal for easing of administrative sanctions,Demand policy change,0,2,0.0
Appeal for easing of administrative sanctions,Reject economic cooperation,0,2,0.0
Provide military aid,Accede to demands for change in policy,0,11,0.0
Provide military aid,Reduce or stop military assistance,0,11,0.0
Provide military aid,"Express intent to change institutions, regime",0,11,0.0
Provide humanitarian aid,Accede to demands for rights,1,22,0.045454545454545456
Provide humanitarian aid,Demand material aid,0,22,0.0
Physically assault,Accede to demands for rights,0,30,0.0
Physically assault,Engage in mass expulsion,0,30,0.0
Mobilize or increase armed forces,Accede to demands for change in policy,0,23,0.0
Mobilize or increase armed forces,"Express intent to change institutions, regime",0,23,0.0
Mobilize or increase armed forces,"Appeal for easing of economic sanctions, boycott, or embargo",0,23,0.0
Carry out suicide bombing,Carry out car bombing,0,9,0.0
Carry out suicide bombing,Carry out roadside bombing,0,9,0.0
Carry out suicide bombing,Use as human shield,0,9,0.0
"Conduct suicide, car, or other non-military bombing",Carry out car bombing,4,15,0.26666666666666666
"Conduct suicide, car, or other non-military bombing",Carry out roadside bombing,0,15,0.0
"Protest violently, riot",Reduce or stop humanitarian assistance,5,46,0.10869565217391304
"Protest violently, riot",Threaten to reduce or stop aid,6,46,0.13043478260869565
"Protest violently, riot",Engage in violent protest for rights,1,46,0.021739130434782608
"Protest violently, riot",Ease military blockade,0,46,0.0
"Protest violently, riot",Demonstrate for policy change,0,46,0.0
"Protest violently, riot",Obstruct passage to demand leadership change,0,46,0.0
Assassinate,Use as human shield,0,12,0.0
Kill by physical assault,Demand judicial cooperation,0,7,0.0
Confiscate property,Accede to demands for rights,0,20,0.0
Confiscate property,Increase police alert status,6,20,0.3
Retreat or surrender militarily,Accede to demands for change in policy,0,2,0.0
Retreat or surrender militarily,Carry out car bombing,0,2,0.0
Express intent to cooperate economically,"Express intent to change institutions, regime",0,7,0.0
Express intent to cooperate economically,Reject judicial cooperation,0,7,0.0
Defend verbally,"Express intent to change institutions, regime",0,2,0.0
Engage in material cooperation,"Express intent to change institutions, regime",0,12,0.0
Express intent to provide economic aid,Accede to demands for rights,0,4,0.0
Decline comment,"Appeal for easing of economic sanctions, boycott, or embargo",0,5,0.0
Appeal for judicial cooperation,Demand judicial cooperation,0,6,0.0
Apologize,"Appeal for easing of economic sanctions, boycott, or embargo",0,3,0.0
Express intent to provide military aid,Reduce or stop military assistance,0,14,0.0
Express intent to provide military aid,"Express intent to change institutions, regime",0,14,0.0
Express intent to provide military aid,Carry out car bombing,1,14,0.07142857142857142
Express intent to mediate,Demand policy change,0,1,0.0
Complain officially,"Express intent to ease economic sanctions, boycott, or embargo",0,16,0.0
Reduce or stop military assistance,Accede to demands for rights,0,1,0.0
"Defy norms, law",Demand policy change,0,7,0.0
"Defy norms, law","Appeal for easing of economic sanctions, boycott, or embargo",0,7,0.0
"Defy norms, law",Threaten to halt negotiations,0,7,0.0
Impose state of emergency or martial law,Ease state of emergency or martial law,0,1,0.0
Refuse to yield,Appeal for military protection or peacekeeping,0,6,0.0
Appeal for military aid,Demand policy change,0,3,0.0
Appeal for military aid,Reject economic cooperation,0,3,0.0
"Return, release property",Accede to demands for rights,0,2,0.0
"Return, release property",Reject judicial cooperation,0,2,0.0
Appeal for humanitarian aid,Demand policy change,0,1,0.0
Appeal for humanitarian aid,Reject economic cooperation,0,1,0.0
