relation test,relation train,#implication,#rel_test,percentage
Express intent to engage in diplomatic cooperation (such as policy support),Reduce or stop military assistance,17,163,0.10429447852760736
Express intent to engage in diplomatic cooperation (such as policy support),Demand policy change,0,163,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Reject economic cooperation,0,163,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Halt mediation,0,163,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Accede to demands for change in policy,1,163,0.006134969325153374
Express intent to engage in diplomatic cooperation (such as policy support),Appeal for target to allow international involvement (non-mediation),0,163,0.0
Appeal for intelligence,"Express intent to ease economic sanctions, boycott, or embargo",15,9,1.6666666666666667
Appeal for intelligence,Demand policy change,0,9,0.0
Appeal for intelligence,Reject economic cooperation,0,9,0.0
Demand,Demand humanitarian aid,0,136,0.0
Demand,"Ease economic sanctions, boycott, embargo",0,136,0.0
Demand,Appeal to others to settle dispute,1,136,0.007352941176470588
Demand,"Express intent to ease economic sanctions, boycott, or embargo",0,136,0.0
Demand,Appeal for material cooperation,2,136,0.014705882352941176
Demand,Demand settling of dispute,0,136,0.0
Demand,"Appeal for easing of economic sanctions, boycott, or embargo",1,136,0.007352941176470588
Demand,Demand military aid,0,136,0.0
Demand,Demand release of persons or property,0,136,0.0
Demand,Reject military cooperation,1,136,0.007352941176470588
Demand,Threaten to halt negotiations,1,136,0.007352941176470588
Demand,Demand rights,1,136,0.007352941176470588
Demand,Demand political reform,0,136,0.0
Demand,Demand judicial cooperation,2,136,0.014705882352941176
Demand,Reject judicial cooperation,1,136,0.007352941176470588
Demand,Demand policy change,2,136,0.014705882352941176
Demand,Reject economic cooperation,2,136,0.014705882352941176
Demand,Halt mediation,0,136,0.0
Demand,Threaten with repression,1,136,0.007352941176470588
Demand,Accede to demands for change in policy,0,136,0.0
Demand,Express intent to change policy,0,136,0.0
Demand,Demand material aid,2,136,0.014705882352941176
Demand,Appeal for target to allow international involvement (non-mediation),0,136,0.0
Carry out suicide bombing,Use as human shield,0,9,0.0
Carry out suicide bombing,Carry out car bombing,0,9,0.0
Carry out suicide bombing,Carry out roadside bombing,0,9,0.0
Express intent to provide material aid,Demand humanitarian aid,0,10,0.0
Express intent to provide material aid,"Express intent to change institutions, regime",3,10,0.3
Express intent to provide material aid,Accede to demands for rights,0,10,0.0
Express intent to provide material aid,Reduce or stop military assistance,6,10,0.6
Express intent to provide material aid,Accede to demands for change in policy,0,10,0.0
Demonstrate or rally,"Protest violently, riot",556,55,10.10909090909091
Demonstrate or rally,Demand humanitarian aid,0,55,0.0
Demonstrate or rally,"Obstruct passage, block",29,55,0.5272727272727272
Demonstrate or rally,Reduce or stop humanitarian assistance,2,55,0.03636363636363636
Demonstrate or rally,Ease military blockade,2,55,0.03636363636363636
Demonstrate or rally,Threaten to reduce or stop aid,2,55,0.03636363636363636
Demonstrate or rally,Demonstrate for policy change,0,55,0.0
Demonstrate or rally,Engage in violent protest for rights,7,55,0.12727272727272726
Demonstrate or rally,Demand judicial cooperation,0,55,0.0
Demonstrate or rally,Obstruct passage to demand leadership change,0,55,0.0
Demonstrate or rally,Demand policy change,0,55,0.0
Demonstrate or rally,Reject economic cooperation,0,55,0.0
Meet at a 'third' location,"Ease economic sanctions, boycott, embargo",0,70,0.0
Meet at a 'third' location,"Express intent to ease economic sanctions, boycott, or embargo",0,70,0.0
Meet at a 'third' location,Express intent to cooperate on intelligence,6,70,0.08571428571428572
Meet at a 'third' location,Reject military cooperation,0,70,0.0
Meet at a 'third' location,Reject judicial cooperation,1,70,0.014285714285714285
Accuse,Reduce or break diplomatic relations,56,268,0.208955223880597
Accuse,Use tactics of violent repression,8,268,0.029850746268656716
Accuse,Accede to demands for rights,4,268,0.014925373134328358
Accuse,Demand economic aid,2,268,0.007462686567164179
Accuse,Appeal to others to settle dispute,2,268,0.007462686567164179
Accuse,Reject request for military aid,0,268,0.0
Accuse,fight with artillery and tanks,40,268,0.14925373134328357
Accuse,"Threaten with sanctions, boycott, embargo",0,268,0.0
Accuse,Accede to requests or demands for political reform,0,268,0.0
Accuse,"Appeal for easing of economic sanctions, boycott, or embargo",5,268,0.018656716417910446
Accuse,Appeal for military protection or peacekeeping,1,268,0.0037313432835820895
Accuse,Accuse of war crimes,3,268,0.011194029850746268
Accuse,Reject military cooperation,5,268,0.018656716417910446
Accuse,Threaten to halt negotiations,5,268,0.018656716417910446
Accuse,Demand material cooperation,5,268,0.018656716417910446
Accuse,Demand rights,0,268,0.0
Accuse,Demand judicial cooperation,4,268,0.014925373134328358
Accuse,Violate ceasefire,0,268,0.0
Accuse,Demand mediation,1,268,0.0037313432835820895
Accuse,Appeal for humanitarian aid,3,268,0.011194029850746268
Accuse,Demand policy change,2,268,0.007462686567164179
Accuse,Reject economic cooperation,2,268,0.007462686567164179
Accuse,Halt mediation,1,268,0.0037313432835820895
Accuse,Accede to demands for change in policy,0,268,0.0
Accuse,Investigate war crimes,0,268,0.0
Accuse,"Use chemical, biological, or radiological weapons",0,268,0.0
Accuse,Engage in mass expulsion,0,268,0.0
Accuse,Investigate human rights abuses,6,268,0.022388059701492536
Investigate,"Impose blockade, restrict movement",12,90,0.13333333333333333
Investigate,Confiscate property,163,90,1.8111111111111111
Investigate,Mobilize or increase police power,14,90,0.15555555555555556
Investigate,Accede to demands for rights,0,90,0.0
Investigate,Impose state of emergency or martial law,0,90,0.0
Investigate,Reduce or stop humanitarian assistance,1,90,0.011111111111111112
Investigate,"Express intent to ease economic sanctions, boycott, or embargo",0,90,0.0
Investigate,Increase police alert status,15,90,0.16666666666666666
Investigate,Ease military blockade,0,90,0.0
Investigate,Seize or damage property,2,90,0.022222222222222223
Investigate,Threaten to reduce or stop aid,0,90,0.0
Investigate,Receive inspectors,0,90,0.0
Appeal for diplomatic cooperation (such as policy support),Accede to demands for rights,0,56,0.0
Appeal for diplomatic cooperation (such as policy support),"Appeal for easing of economic sanctions, boycott, or embargo",0,56,0.0
Appeal for diplomatic cooperation (such as policy support),Appeal to yield,1,56,0.017857142857142856
Appeal for diplomatic cooperation (such as policy support),Reject military cooperation,0,56,0.0
Appeal for diplomatic cooperation (such as policy support),Threaten to halt negotiations,0,56,0.0
Appeal for diplomatic cooperation (such as policy support),Reject judicial cooperation,0,56,0.0
Appeal for diplomatic cooperation (such as policy support),Use as human shield,0,56,0.0
Appeal for diplomatic cooperation (such as policy support),Demand policy change,1,56,0.017857142857142856
Appeal for diplomatic cooperation (such as policy support),Reject economic cooperation,1,56,0.017857142857142856
Appeal for diplomatic cooperation (such as policy support),Accede to demands for change in policy,0,56,0.0
Appeal for diplomatic cooperation (such as policy support),Demand material aid,0,56,0.0
Engage in symbolic act,Accede to demands for rights,0,43,0.0
Engage in symbolic act,Express intent to institute political reform,0,43,0.0
Engage in symbolic act,Demand political reform,0,43,0.0
Engage in symbolic act,Demand material aid,0,43,0.0
"Defy norms, law","Appeal for easing of economic sanctions, boycott, or embargo",0,7,0.0
"Defy norms, law",Threaten to halt negotiations,0,7,0.0
"Defy norms, law",Demand political reform,0,7,0.0
"Defy norms, law",Demand policy change,0,7,0.0
"Defy norms, law",Reject economic cooperation,0,7,0.0
Consider policy option,"Express intent to change institutions, regime",1,11,0.09090909090909091
Consider policy option,"Express intent to ease economic sanctions, boycott, or embargo",15,11,1.3636363636363635
Consider policy option,Reject judicial cooperation,0,11,0.0
Consider policy option,Accede to demands for change in policy,0,11,0.0
Provide aid,"Express intent to change institutions, regime",1,23,0.043478260869565216
Provide aid,Accede to demands for rights,8,23,0.34782608695652173
Provide aid,Demand judicial cooperation,0,23,0.0
Provide aid,Reduce or stop military assistance,4,23,0.17391304347826086
Provide aid,Halt mediation,0,23,0.0
Provide aid,Demand material aid,0,23,0.0
Provide aid,Investigate human rights abuses,0,23,0.0
Provide aid,Appeal for target to allow international involvement (non-mediation),0,23,0.0
Threaten,Demand humanitarian aid,1,72,0.013888888888888888
Threaten,"Obstruct passage, block",0,72,0.0
Threaten,Express intent to de-escalate military engagement,2,72,0.027777777777777776
Threaten,Accede to demands for rights,8,72,0.1111111111111111
Threaten,Reduce or stop humanitarian assistance,0,72,0.0
Threaten,Ease military blockade,0,72,0.0
Threaten,"Appeal for easing of economic sanctions, boycott, or embargo",4,72,0.05555555555555555
Threaten,Threaten to reduce or stop aid,0,72,0.0
Threaten,Appeal for military protection or peacekeeping,0,72,0.0
Threaten,Reject military cooperation,8,72,0.1111111111111111
Threaten,Threaten to halt negotiations,4,72,0.05555555555555555
Threaten,Demand judicial cooperation,0,72,0.0
Threaten,Demand mediation,1,72,0.013888888888888888
Threaten,Demand policy change,1,72,0.013888888888888888
Threaten,Reject economic cooperation,1,72,0.013888888888888888
Threaten,Halt mediation,0,72,0.0
Threaten,Accede to demands for change in policy,1,72,0.013888888888888888
Threaten,Carry out car bombing,0,72,0.0
Make empathetic comment,Accede to demands for rights,0,30,0.0
Make empathetic comment,"Appeal for easing of economic sanctions, boycott, or embargo",0,30,0.0
Make empathetic comment,Appeal for military protection or peacekeeping,0,30,0.0
Make empathetic comment,Threaten to halt negotiations,0,30,0.0
Make empathetic comment,Reject judicial cooperation,0,30,0.0
Make empathetic comment,Investigate human rights abuses,0,30,0.0
Bring lawsuit against,Accede to demands for rights,4,20,0.2
Bring lawsuit against,Appeal for military protection or peacekeeping,0,20,0.0
Bring lawsuit against,Demand political reform,0,20,0.0
Bring lawsuit against,Demand policy change,0,20,0.0
Bring lawsuit against,Reject economic cooperation,0,20,0.0
Make pessimistic comment,Demand humanitarian aid,0,52,0.0
Make pessimistic comment,"Express intent to change institutions, regime",0,52,0.0
Make pessimistic comment,"Ease economic sanctions, boycott, embargo",0,52,0.0
Make pessimistic comment,Accede to demands for rights,0,52,0.0
Make pessimistic comment,Appeal to others to settle dispute,4,52,0.07692307692307693
Make pessimistic comment,"Express intent to ease economic sanctions, boycott, or embargo",0,52,0.0
Make pessimistic comment,Express intent to provide military protection or peacekeeping,2,52,0.038461538461538464
Make pessimistic comment,"Threaten with sanctions, boycott, embargo",0,52,0.0
Make pessimistic comment,Appeal for military protection or peacekeeping,0,52,0.0
Make pessimistic comment,Reject military cooperation,0,52,0.0
Make pessimistic comment,Demand judicial cooperation,0,52,0.0
Make pessimistic comment,Reject judicial cooperation,0,52,0.0
Make pessimistic comment,Reduce or stop military assistance,1,52,0.019230769230769232
Make pessimistic comment,Demand policy change,0,52,0.0
Make pessimistic comment,Reject economic cooperation,0,52,0.0
Make pessimistic comment,Halt mediation,0,52,0.0
Make pessimistic comment,Accede to demands for change in policy,0,52,0.0
Make pessimistic comment,Demand material aid,0,52,0.0
Make pessimistic comment,Investigate human rights abuses,1,52,0.019230769230769232
"Protest violently, riot","Obstruct passage, block",89,46,1.934782608695652
"Protest violently, riot",Reduce or stop humanitarian assistance,6,46,0.13043478260869565
"Protest violently, riot",Ease military blockade,6,46,0.13043478260869565
"Protest violently, riot",Threaten to reduce or stop aid,6,46,0.13043478260869565
"Protest violently, riot",Demonstrate for policy change,0,46,0.0
"Protest violently, riot",Engage in violent protest for rights,4,46,0.08695652173913043
"Protest violently, riot",Demand judicial cooperation,0,46,0.0
"Protest violently, riot",Obstruct passage to demand leadership change,0,46,0.0
"Protest violently, riot",Carry out roadside bombing,0,46,0.0
Reduce or break diplomatic relations,"Express intent to ease economic sanctions, boycott, or embargo",0,15,0.0
Reduce or break diplomatic relations,Reject judicial cooperation,0,15,0.0
Reduce or break diplomatic relations,Accede to demands for change in policy,3,15,0.2
Engage in diplomatic cooperation,"Express intent to change institutions, regime",2,142,0.014084507042253521
Engage in diplomatic cooperation,Veto,0,142,0.0
Engage in diplomatic cooperation,Express intent to cooperate militarily,18,142,0.1267605633802817
Engage in diplomatic cooperation,Accede to demands for rights,0,142,0.0
Engage in diplomatic cooperation,Appeal to others to settle dispute,1,142,0.007042253521126761
Engage in diplomatic cooperation,"Express intent to ease economic sanctions, boycott, or embargo",0,142,0.0
Engage in diplomatic cooperation,Express intent to cooperate on intelligence,18,142,0.1267605633802817
Engage in diplomatic cooperation,"Appeal for easing of economic sanctions, boycott, or embargo",0,142,0.0
Engage in diplomatic cooperation,Reject military cooperation,0,142,0.0
Engage in diplomatic cooperation,Threaten to halt negotiations,0,142,0.0
Engage in diplomatic cooperation,Reject judicial cooperation,3,142,0.02112676056338028
Engage in diplomatic cooperation,Reduce or stop military assistance,5,142,0.035211267605633804
Engage in diplomatic cooperation,Halt mediation,0,142,0.0
Engage in diplomatic cooperation,Accede to demands for change in policy,1,142,0.007042253521126761
Engage in diplomatic cooperation,Reject request for military protection or peacekeeping,0,142,0.0
Engage in diplomatic cooperation,Appeal for target to allow international involvement (non-mediation),0,142,0.0
Make optimistic comment,"Express intent to change institutions, regime",0,61,0.0
Make optimistic comment,Veto,0,61,0.0
Make optimistic comment,"Ease economic sanctions, boycott, embargo",9,61,0.14754098360655737
Make optimistic comment,Accede to demands for rights,0,61,0.0
Make optimistic comment,"Express intent to ease economic sanctions, boycott, or embargo",0,61,0.0
Make optimistic comment,Express intent to cooperate on intelligence,0,61,0.0
Make optimistic comment,Express intent to settle dispute,5,61,0.08196721311475409
Make optimistic comment,"Appeal for easing of economic sanctions, boycott, or embargo",1,61,0.01639344262295082
Make optimistic comment,Reject military cooperation,1,61,0.01639344262295082
Make optimistic comment,Threaten to halt negotiations,1,61,0.01639344262295082
Make optimistic comment,Express intent to institute political reform,0,61,0.0
Make optimistic comment,Demand mediation,1,61,0.01639344262295082
Make optimistic comment,Reject judicial cooperation,0,61,0.0
Make optimistic comment,Reduce or stop military assistance,0,61,0.0
Make optimistic comment,Demand policy change,0,61,0.0
Make optimistic comment,Halt mediation,0,61,0.0
Make optimistic comment,Accede to demands for change in policy,0,61,0.0
Make optimistic comment,Investigate human rights abuses,0,61,0.0
Refuse to yield,Accede to demands for rights,0,6,0.0
Refuse to yield,Appeal for military protection or peacekeeping,0,6,0.0
Mobilize or increase armed forces,"Express intent to change institutions, regime",1,23,0.043478260869565216
Mobilize or increase armed forces,Express intent to de-escalate military engagement,4,23,0.17391304347826086
Mobilize or increase armed forces,Impose state of emergency or martial law,0,23,0.0
Mobilize or increase armed forces,"Appeal for easing of economic sanctions, boycott, or embargo",0,23,0.0
Mobilize or increase armed forces,Threaten to halt negotiations,0,23,0.0
Mobilize or increase armed forces,Accede to demands for change in policy,3,23,0.13043478260869565
fight with small arms and light weapons,Demand humanitarian aid,0,78,0.0
fight with small arms and light weapons,Accede to demands for rights,0,78,0.0
fight with small arms and light weapons,"Appeal for easing of economic sanctions, boycott, or embargo",1,78,0.01282051282051282
fight with small arms and light weapons,Threaten to halt negotiations,1,78,0.01282051282051282
fight with small arms and light weapons,Engage in mass killings,10,78,0.1282051282051282
fight with small arms and light weapons,Demand judicial cooperation,2,78,0.02564102564102564
fight with small arms and light weapons,Use as human shield,0,78,0.0
fight with small arms and light weapons,Engage in mass expulsion,0,78,0.0
Ease administrative sanctions,Accede to demands for rights,0,13,0.0
Ease administrative sanctions,Ease curfew,0,13,0.0
"Return, release person(s)",Express intent to release persons or property,35,40,0.875
"Return, release person(s)",Accede to demands for rights,4,40,0.1
"Return, release person(s)",Accede to demands for change in policy,0,40,0.0
"Return, release person(s)",Engage in mass expulsion,0,40,0.0
Impose restrictions on political freedoms,Accede to demands for rights,5,11,0.45454545454545453
Impose restrictions on political freedoms,Reduce or stop humanitarian assistance,4,11,0.36363636363636365
Impose restrictions on political freedoms,Ease military blockade,4,11,0.36363636363636365
Impose restrictions on political freedoms,Threaten to reduce or stop aid,4,11,0.36363636363636365
Impose restrictions on political freedoms,Express intent to institute political reform,0,11,0.0
Engage in material cooperation,"Express intent to change institutions, regime",0,12,0.0
Engage in material cooperation,Accede to demands for rights,4,12,0.3333333333333333
Provide humanitarian aid,"Express intent to change institutions, regime",1,22,0.045454545454545456
Provide humanitarian aid,Accede to demands for rights,4,22,0.18181818181818182
Provide humanitarian aid,Increase police alert status,0,22,0.0
Provide humanitarian aid,Halt mediation,0,22,0.0
Provide humanitarian aid,Demand material aid,0,22,0.0
Use tactics of violent repression,Engage in mass expulsion,2,27,0.07407407407407407
Occupy territory,"Conduct suicide, car, or other non-military bombing",130,28,4.642857142857143
Occupy territory,"Express intent to change institutions, regime",1,28,0.03571428571428571
Occupy territory,Mobilize or increase police power,0,28,0.0
Occupy territory,Increase police alert status,0,28,0.0
Occupy territory,"Appeal for easing of economic sanctions, boycott, or embargo",0,28,0.0
Occupy territory,Threaten to halt negotiations,0,28,0.0
Occupy territory,Carry out car bombing,7,28,0.25
Reject,Demand humanitarian aid,0,87,0.0
Reject,Veto,0,87,0.0
Reject,"Obstruct passage, block",4,87,0.04597701149425287
Reject,Accede to demands for rights,1,87,0.011494252873563218
Reject,Reduce or stop humanitarian assistance,4,87,0.04597701149425287
Reject,Express intent to cooperate on intelligence,0,87,0.0
Reject,Ease military blockade,0,87,0.0
Reject,"Appeal for easing of economic sanctions, boycott, or embargo",1,87,0.011494252873563218
Reject,Threaten to reduce or stop aid,0,87,0.0
Reject,Reject military cooperation,1,87,0.011494252873563218
Reject,Threaten to halt negotiations,1,87,0.011494252873563218
Reject,Reject judicial cooperation,0,87,0.0
Reject,Demand policy change,0,87,0.0
Reject,Reject economic cooperation,0,87,0.0
Reject,Halt mediation,0,87,0.0
Reject,Investigate human rights abuses,1,87,0.011494252873563218
Reject,Carry out roadside bombing,0,87,0.0
Threaten non-force,Accede to demands for rights,0,1,0.0
Express intent to cooperate economically,"Express intent to change institutions, regime",0,7,0.0
Express intent to cooperate economically,Express intent to cooperate on intelligence,0,7,0.0
Express intent to cooperate economically,Reject judicial cooperation,0,7,0.0
"Conduct suicide, car, or other non-military bombing",Carry out car bombing,7,15,0.4666666666666667
"Conduct suicide, car, or other non-military bombing",Carry out roadside bombing,0,15,0.0
Deny responsibility,Accede to demands for rights,0,27,0.0
Deny responsibility,"Express intent to ease economic sanctions, boycott, or embargo",0,27,0.0
Deny responsibility,"Appeal for easing of economic sanctions, boycott, or embargo",0,27,0.0
Deny responsibility,Threaten to halt negotiations,0,27,0.0
Deny responsibility,Reject judicial cooperation,0,27,0.0
Deny responsibility,Halt mediation,1,27,0.037037037037037035
Cooperate economically,"Express intent to change institutions, regime",0,17,0.0
Employ aerial weapons,"Express intent to change institutions, regime",0,10,0.0
Demonstrate military or police power,"Express intent to change institutions, regime",0,7,0.0
Provide military aid,"Express intent to change institutions, regime",0,11,0.0
Rally support on behalf of,"Express intent to change institutions, regime",0,13,0.0
Express intent to provide military aid,"Express intent to change institutions, regime",1,14,0.07142857142857142
Defend verbally,"Express intent to change institutions, regime",0,2,0.0
Provide military protection or peacekeeping,"Express intent to change institutions, regime",1,3,0.3333333333333333
Reduce or stop military assistance,"Express intent to change institutions, regime",0,1,0.0
Appeal for judicial cooperation,"Express intent to ease economic sanctions, boycott, or embargo",0,6,0.0
Appeal for judicial cooperation,Demand judicial cooperation,0,6,0.0
Expel or deport individuals,Accede to demands for rights,0,13,0.0
Expel or deport individuals,Expel or withdraw,0,13,0.0
Confiscate property,Mobilize or increase police power,3,20,0.15
Confiscate property,Accede to demands for rights,0,20,0.0
Confiscate property,Increase police alert status,10,20,0.5
Confiscate property,Seize or damage property,3,20,0.15
Confiscate property,Express intent to institute political reform,0,20,0.0
Confiscate property,Accede to demands for change in policy,0,20,0.0
Express intent to de-escalate military engagement,Accuse of aggression,0,1,0.0
Reduce relations,Express intent to cooperate on intelligence,3,24,0.125
Reduce relations,"Appeal for easing of economic sanctions, boycott, or embargo",0,24,0.0
Reduce relations,Threaten to halt negotiations,0,24,0.0
Reduce relations,Reject judicial cooperation,0,24,0.0
Reduce relations,Demand policy change,0,24,0.0
Reduce relations,Reject economic cooperation,0,24,0.0
Reduce relations,Halt mediation,0,24,0.0
Physically assault,Accede to demands for rights,0,30,0.0
Physically assault,Demand judicial cooperation,0,30,0.0
Physically assault,Engage in mass expulsion,0,30,0.0
Retreat or surrender militarily,Express intent to de-escalate military engagement,0,2,0.0
Retreat or surrender militarily,Accede to demands for change in policy,0,2,0.0
Retreat or surrender militarily,Carry out car bombing,0,2,0.0
Kill by physical assault,Demand judicial cooperation,0,7,0.0
"Reject proposal to meet, discuss, or negotiate",Accede to demands for rights,0,6,0.0
"Reject proposal to meet, discuss, or negotiate","Appeal for easing of economic sanctions, boycott, or embargo",0,6,0.0
"Reject proposal to meet, discuss, or negotiate",Threaten to halt negotiations,0,6,0.0
"Reject proposal to meet, discuss, or negotiate",Reject judicial cooperation,0,6,0.0
"Reject proposal to meet, discuss, or negotiate",Halt mediation,0,6,0.0
Express intent to provide humanitarian aid,Accede to demands for rights,0,10,0.0
Express intent to provide humanitarian aid,Appeal for target to allow international involvement (non-mediation),0,10,0.0
Cooperate economically,Reject judicial cooperation,0,17,0.0
Express intent to provide economic aid,Accede to demands for rights,0,4,0.0
Increase police alert status,Mobilize or increase police power,3,2,1.5
Mobilize or increase police power,Increase police alert status,1,5,0.2
Mobilize or increase police power,Accede to demands for change in policy,2,5,0.4
Demonstrate military or police power,"Appeal for easing of economic sanctions, boycott, or embargo",1,7,0.14285714285714285
Demonstrate military or police power,Threaten to halt negotiations,1,7,0.14285714285714285
Demonstrate military or police power,Accede to demands for change in policy,0,7,0.0
Provide military aid,Express intent to provide military aid,27,11,2.4545454545454546
Provide military aid,Reduce or stop military assistance,0,11,0.0
Provide military aid,Accede to demands for change in policy,0,11,0.0
"Reject plan, agreement to settle dispute","Express intent to ease economic sanctions, boycott, or embargo",0,6,0.0
"Reject plan, agreement to settle dispute","Appeal for easing of economic sanctions, boycott, or embargo",1,6,0.16666666666666666
"Reject plan, agreement to settle dispute",Demand military aid,0,6,0.0
"Reject plan, agreement to settle dispute",Threaten to halt negotiations,1,6,0.16666666666666666
Yield,Accede to demands for rights,0,17,0.0
Yield,Engage in violent protest for rights,0,17,0.0
Yield,Demand judicial cooperation,0,17,0.0
Yield,Demand policy change,1,17,0.058823529411764705
Yield,Reject economic cooperation,1,17,0.058823529411764705
"Obstruct passage, block",Reduce or stop humanitarian assistance,0,1,0.0
"Obstruct passage, block",Ease military blockade,0,1,0.0
"Obstruct passage, block",Threaten to reduce or stop aid,0,1,0.0
Apologize,"Appeal for easing of economic sanctions, boycott, or embargo",0,3,0.0
Apologize,Threaten to halt negotiations,0,3,0.0
Express intent to release persons or property,Accede to demands for rights,0,11,0.0
Express intent to release persons or property,Accede to demands for change in policy,0,11,0.0
Express intent to de-escalate military engagement,Accede to demands for change in policy,0,1,0.0
Coerce,Accede to demands for rights,0,12,0.0
"Return, release property",Accede to demands for rights,0,2,0.0
Appeal for economic cooperation,Accede to demands for rights,0,2,0.0
Give ultimatum,Accede to demands for rights,0,2,0.0
Reduce or stop military assistance,Accede to demands for rights,0,1,0.0
Impose state of emergency or martial law,Ease state of emergency or martial law,0,1,0.0
Receive deployment of peacekeepers,Demand military aid,0,2,0.0
"Declare truce, ceasefire",Engage in mass expulsion,0,5,0.0
Threaten with military force,Reduce or stop humanitarian assistance,0,14,0.0
Acknowledge or claim responsibility,Carry out car bombing,0,8,0.0
Acknowledge or claim responsibility,Carry out roadside bombing,0,8,0.0
Halt negotiations,"Express intent to ease economic sanctions, boycott, or embargo",0,8,0.0
Coerce,Investigate human rights abuses,0,12,0.0
fight with artillery and tanks,"Appeal for easing of economic sanctions, boycott, or embargo",0,3,0.0
fight with artillery and tanks,Threaten to halt negotiations,0,3,0.0
fight with artillery and tanks,Carry out car bombing,0,3,0.0
Express intent to settle dispute,Express intent to cooperate on intelligence,0,5,0.0
Express intent to settle dispute,Reject judicial cooperation,0,5,0.0
Express intent to settle dispute,Halt mediation,0,5,0.0
Decline comment,"Appeal for easing of economic sanctions, boycott, or embargo",0,5,0.0
Decline comment,Threaten to halt negotiations,0,5,0.0
Halt negotiations,"Appeal for easing of economic sanctions, boycott, or embargo",0,8,0.0
Halt negotiations,Threaten to halt negotiations,0,8,0.0
Appeal for military aid,Demand policy change,0,3,0.0
Appeal for military aid,Reject economic cooperation,0,3,0.0
Threaten with military force,Ease military blockade,0,14,0.0
Threaten with military force,"Appeal for easing of economic sanctions, boycott, or embargo",0,14,0.0
Threaten with military force,Threaten to reduce or stop aid,0,14,0.0
Threaten with military force,Threaten to halt negotiations,0,14,0.0
Threaten with military force,Demand judicial cooperation,0,14,0.0
Threaten with military force,Carry out car bombing,1,14,0.07142857142857142
Threaten with military force,Carry out roadside bombing,0,14,0.0
Provide military protection or peacekeeping,Express intent to provide military protection or peacekeeping,2,3,0.6666666666666666
Assassinate,Use as human shield,0,12,0.0
Express intent to provide military aid,Reduce or stop military assistance,2,14,0.14285714285714285
Express intent to provide military aid,Accede to demands for change in policy,1,14,0.07142857142857142
Express intent to provide military aid,Carry out car bombing,1,14,0.07142857142857142
Increase police alert status,"Appeal for easing of economic sanctions, boycott, or embargo",0,2,0.0
Increase police alert status,Threaten to halt negotiations,0,2,0.0
"Return, release property",Reject judicial cooperation,0,2,0.0
Give ultimatum,Demand policy change,0,2,0.0
Give ultimatum,Reject economic cooperation,0,2,0.0
Give ultimatum,Engage in mass expulsion,0,2,0.0
"Accuse of crime, corruption",Demand judicial cooperation,0,10,0.0
Provide military protection or peacekeeping,Halt mediation,0,3,0.0
Provide military protection or peacekeeping,Accede to demands for change in policy,0,3,0.0
Appeal for easing of administrative sanctions,Demand policy change,0,2,0.0
Appeal for easing of administrative sanctions,Reject economic cooperation,0,2,0.0
Appeal for release of persons or property,Reject military cooperation,0,5,0.0
Appeal for release of persons or property,Demand policy change,0,5,0.0
Appeal for release of persons or property,Reject economic cooperation,0,5,0.0
Appeal for rights,Reject judicial cooperation,0,2,0.0
Appeal to engage in or accept mediation,Demand policy change,0,6,0.0
Appeal to engage in or accept mediation,Reject economic cooperation,0,6,0.0
Express intent to mediate,Demand policy change,0,1,0.0
Express intent to mediate,Reject economic cooperation,0,1,0.0
Appeal for humanitarian aid,Demand policy change,0,1,0.0
Appeal for humanitarian aid,Reject economic cooperation,0,1,0.0
