relation test,relation train,#inverse,#rel_test,percentage
Express intent to engage in diplomatic cooperation (such as policy support),"Express intent to ease economic sanctions, boycott, or embargo",1,163,0.006134969325153374
Express intent to engage in diplomatic cooperation (such as policy support),Express intent to cooperate on intelligence,1,163,0.006134969325153374
Express intent to engage in diplomatic cooperation (such as policy support),Express intent to settle dispute,12,163,0.0736196319018405
Express intent to engage in diplomatic cooperation (such as policy support),"Ease economic sanctions, boycott, embargo",1,163,0.006134969325153374
Express intent to engage in diplomatic cooperation (such as policy support),"Appeal for easing of economic sanctions, boycott, or embargo",3,163,0.018404907975460124
Express intent to engage in diplomatic cooperation (such as policy support),Demand military aid,1,163,0.006134969325153374
Express intent to engage in diplomatic cooperation (such as policy support),Threaten to halt negotiations,3,163,0.018404907975460124
Express intent to engage in diplomatic cooperation (such as policy support),Demand political reform,0,163,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Reject judicial cooperation,0,163,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Demand policy change,2,163,0.012269938650306749
Express intent to engage in diplomatic cooperation (such as policy support),Reject economic cooperation,2,163,0.012269938650306749
Express intent to engage in diplomatic cooperation (such as policy support),Halt mediation,0,163,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Investigate human rights abuses,0,163,0.0
Appeal for intelligence,Accede to demands for rights,0,9,0.0
Appeal for intelligence,Demand judicial cooperation,0,9,0.0
Demand,Demand humanitarian aid,0,136,0.0
Demand,Accede to demands for rights,3,136,0.022058823529411766
Demand,"Appeal for easing of economic sanctions, boycott, or embargo",5,136,0.03676470588235294
Demand,Demand military aid,0,136,0.0
Demand,Engage in violent protest for rights,0,136,0.0
Demand,Threaten to halt negotiations,5,136,0.03676470588235294
Demand,Demand political reform,0,136,0.0
Demand,Demand judicial cooperation,1,136,0.007352941176470588
Demand,Demand mediation,0,136,0.0
Demand,Demand policy change,1,136,0.007352941176470588
Demand,Reject economic cooperation,1,136,0.007352941176470588
Demand,Halt mediation,0,136,0.0
Demand,Accede to demands for change in policy,0,136,0.0
Threaten,Demand humanitarian aid,1,72,0.013888888888888888
Threaten,Accede to demands for rights,2,72,0.027777777777777776
Threaten,"Express intent to ease economic sanctions, boycott, or embargo",0,72,0.0
Threaten,"Appeal for easing of economic sanctions, boycott, or embargo",0,72,0.0
Threaten,Demand military aid,1,72,0.013888888888888888
Threaten,Threaten to halt negotiations,0,72,0.0
Threaten,Demand political reform,0,72,0.0
Threaten,Violate ceasefire,0,72,0.0
Threaten,Demand mediation,2,72,0.027777777777777776
Threaten,Use as human shield,0,72,0.0
Threaten,Demand policy change,0,72,0.0
Threaten,Reject economic cooperation,0,72,0.0
Threaten,Halt mediation,0,72,0.0
Express intent to provide material aid,Demand humanitarian aid,0,10,0.0
Express intent to provide material aid,"Appeal for easing of economic sanctions, boycott, or embargo",0,10,0.0
Express intent to provide material aid,Demand military aid,0,10,0.0
Express intent to provide material aid,Threaten to halt negotiations,0,10,0.0
Demonstrate or rally,Use tactics of violent repression,18,55,0.32727272727272727
Demonstrate or rally,Accede to demands for rights,0,55,0.0
Demonstrate or rally,Engage in mass expulsion,0,55,0.0
Meet at a 'third' location,"Express intent to ease economic sanctions, boycott, or embargo",0,70,0.0
Meet at a 'third' location,Express intent to cooperate on intelligence,2,70,0.02857142857142857
Meet at a 'third' location,"Ease economic sanctions, boycott, embargo",0,70,0.0
Meet at a 'third' location,Reject judicial cooperation,1,70,0.014285714285714285
Accuse,Torture,4,268,0.014925373134328358
Accuse,Accuse of aggression,0,268,0.0
Accuse,Accede to demands for rights,10,268,0.03731343283582089
Accuse,Demand economic aid,3,268,0.011194029850746268
Accuse,Reject request for military aid,0,268,0.0
Accuse,"Express intent to ease economic sanctions, boycott, or embargo",0,268,0.0
Accuse,"Appeal for easing of economic sanctions, boycott, or embargo",3,268,0.011194029850746268
Accuse,Decline comment,6,268,0.022388059701492536
Accuse,Engage in violent protest for rights,0,268,0.0
Accuse,Appeal for military protection or peacekeeping,0,268,0.0
Accuse,Threaten to halt negotiations,3,268,0.011194029850746268
Accuse,Demand judicial cooperation,1,268,0.0037313432835820895
Accuse,Violate ceasefire,3,268,0.011194029850746268
Accuse,Demand mediation,3,268,0.011194029850746268
Accuse,Use as human shield,0,268,0.0
Accuse,Demand policy change,0,268,0.0
Accuse,Reject economic cooperation,0,268,0.0
Accuse,Halt mediation,1,268,0.0037313432835820895
Accuse,"Use chemical, biological, or radiological weapons",0,268,0.0
Investigate,Demand humanitarian aid,0,90,0.0
Investigate,"Express intent to ease economic sanctions, boycott, or embargo",0,90,0.0
Investigate,Receive inspectors,1,90,0.011111111111111112
Investigate,Demand judicial cooperation,0,90,0.0
Reject,"Express intent to change institutions, regime",0,87,0.0
Reject,Accede to demands for rights,0,87,0.0
Reject,"Express intent to ease economic sanctions, boycott, or embargo",0,87,0.0
Reject,Express intent to cooperate on intelligence,0,87,0.0
Reject,"Appeal for easing of economic sanctions, boycott, or embargo",3,87,0.034482758620689655
Reject,Appeal to yield,2,87,0.022988505747126436
Reject,Engage in violent protest for rights,0,87,0.0
Reject,Appeal for military protection or peacekeeping,0,87,0.0
Reject,Threaten to halt negotiations,3,87,0.034482758620689655
Reject,Demand judicial cooperation,0,87,0.0
Reject,Violate ceasefire,0,87,0.0
Reject,Reject judicial cooperation,0,87,0.0
Reject,Use as human shield,0,87,0.0
Reject,Demand policy change,1,87,0.011494252873563218
Reject,Reject economic cooperation,1,87,0.011494252873563218
Reject,Halt mediation,0,87,0.0
Appeal for diplomatic cooperation (such as policy support),"Express intent to change institutions, regime",0,56,0.0
Appeal for diplomatic cooperation (such as policy support),Accede to demands for rights,2,56,0.03571428571428571
Appeal for diplomatic cooperation (such as policy support),"Appeal for easing of economic sanctions, boycott, or embargo",0,56,0.0
Appeal for diplomatic cooperation (such as policy support),Demand military aid,0,56,0.0
Appeal for diplomatic cooperation (such as policy support),Threaten to halt negotiations,0,56,0.0
Appeal for diplomatic cooperation (such as policy support),Demand political reform,0,56,0.0
Appeal for diplomatic cooperation (such as policy support),Demand judicial cooperation,0,56,0.0
Appeal for diplomatic cooperation (such as policy support),Demand policy change,0,56,0.0
Appeal for diplomatic cooperation (such as policy support),Reject economic cooperation,0,56,0.0
Engage in symbolic act,Express intent to institute political reform,0,43,0.0
Engage in symbolic act,Demand political reform,0,43,0.0
"Defy norms, law",Accede to demands for rights,0,7,0.0
"Defy norms, law",Engage in mass expulsion,0,7,0.0
Provide aid,Demand judicial cooperation,0,23,0.0
Provide aid,Obstruct passage to demand leadership change,0,23,0.0
Provide aid,Demand policy change,0,23,0.0
Provide aid,Reject economic cooperation,0,23,0.0
Make empathetic comment,Demand humanitarian aid,0,30,0.0
Make empathetic comment,Accede to demands for rights,1,30,0.03333333333333333
Make empathetic comment,"Appeal for easing of economic sanctions, boycott, or embargo",0,30,0.0
Make empathetic comment,Threaten to halt negotiations,0,30,0.0
Bring lawsuit against,Accede to demands for rights,0,20,0.0
Bring lawsuit against,Demand policy change,0,20,0.0
Bring lawsuit against,Reject economic cooperation,0,20,0.0
Make pessimistic comment,Accede to demands for rights,0,52,0.0
Make pessimistic comment,"Express intent to ease economic sanctions, boycott, or embargo",0,52,0.0
Make pessimistic comment,"Appeal for easing of economic sanctions, boycott, or embargo",0,52,0.0
Make pessimistic comment,Demand military aid,0,52,0.0
Make pessimistic comment,Threaten to halt negotiations,0,52,0.0
Make pessimistic comment,Demand political reform,0,52,0.0
Make pessimistic comment,Demand policy change,0,52,0.0
Make pessimistic comment,Reject economic cooperation,0,52,0.0
"Abduct, hijack, or take hostage",Demand humanitarian aid,0,56,0.0
Use tactics of violent repression,"Protest violently, riot",22,27,0.8148148148148148
"Protest violently, riot",Use tactics of violent repression,27,46,0.5869565217391305
"Protest violently, riot",Engage in mass expulsion,10,46,0.21739130434782608
Engage in diplomatic cooperation,"Express intent to change institutions, regime",5,142,0.035211267605633804
Engage in diplomatic cooperation,Express intent to cooperate militarily,3,142,0.02112676056338028
Engage in diplomatic cooperation,Accede to demands for rights,1,142,0.007042253521126761
Engage in diplomatic cooperation,"Express intent to ease economic sanctions, boycott, or embargo",5,142,0.035211267605633804
Engage in diplomatic cooperation,Express intent to cooperate on intelligence,6,142,0.04225352112676056
Engage in diplomatic cooperation,"Ease economic sanctions, boycott, embargo",0,142,0.0
Engage in diplomatic cooperation,"Appeal for easing of economic sanctions, boycott, or embargo",0,142,0.0
Engage in diplomatic cooperation,Demand military aid,0,142,0.0
Engage in diplomatic cooperation,Threaten to halt negotiations,0,142,0.0
Engage in diplomatic cooperation,"Refuse to ease economic sanctions, boycott, or embargo",0,142,0.0
Engage in diplomatic cooperation,Reject judicial cooperation,3,142,0.02112676056338028
Engage in diplomatic cooperation,Halt mediation,3,142,0.02112676056338028
Engage in diplomatic cooperation,Reject request for military protection or peacekeeping,0,142,0.0
Make optimistic comment,Accede to demands for rights,0,61,0.0
Make optimistic comment,"Express intent to ease economic sanctions, boycott, or embargo",0,61,0.0
Make optimistic comment,Express intent to cooperate on intelligence,0,61,0.0
Make optimistic comment,"Appeal for easing of economic sanctions, boycott, or embargo",0,61,0.0
Make optimistic comment,Demand military aid,0,61,0.0
Make optimistic comment,Appeal for military protection or peacekeeping,0,61,0.0
Make optimistic comment,Threaten to halt negotiations,0,61,0.0
Make optimistic comment,Demand political reform,0,61,0.0
Make optimistic comment,Reject judicial cooperation,0,61,0.0
Make optimistic comment,Halt mediation,0,61,0.0
Refuse to yield,Use as human shield,0,6,0.0
Refuse to yield,Demand policy change,0,6,0.0
Refuse to yield,Reject economic cooperation,0,6,0.0
Refuse to yield,Engage in mass expulsion,0,6,0.0
Cooperate militarily,"Express intent to change institutions, regime",0,18,0.0
Mobilize or increase armed forces,Demand military aid,3,23,0.13043478260869565
fight with small arms and light weapons,Demand humanitarian aid,0,78,0.0
fight with small arms and light weapons,"Appeal for easing of economic sanctions, boycott, or embargo",0,78,0.0
fight with small arms and light weapons,Threaten to halt negotiations,0,78,0.0
fight with small arms and light weapons,Demand judicial cooperation,3,78,0.038461538461538464
Ease administrative sanctions,Accede to demands for rights,0,13,0.0
Discuss by telephone,Obstruct passage to demand leadership change,0,88,0.0
Impose restrictions on political freedoms,Demand humanitarian aid,0,11,0.0
Impose restrictions on political freedoms,Demand political reform,0,11,0.0
Impose restrictions on political freedoms,Demand policy change,1,11,0.09090909090909091
Impose restrictions on political freedoms,Reject economic cooperation,1,11,0.09090909090909091
Reduce relations,Accede to demands for rights,0,24,0.0
Reduce relations,Express intent to cooperate on intelligence,1,24,0.041666666666666664
Reduce relations,Appeal for military protection or peacekeeping,0,24,0.0
Reduce relations,Demand mediation,1,24,0.041666666666666664
Reduce relations,Reject judicial cooperation,1,24,0.041666666666666664
Reduce relations,Demand policy change,0,24,0.0
Reduce relations,Reject economic cooperation,0,24,0.0
Engage in material cooperation,Demand judicial cooperation,1,12,0.08333333333333333
Engage in material cooperation,Reject judicial cooperation,0,12,0.0
Provide humanitarian aid,Demand humanitarian aid,0,22,0.0
Provide humanitarian aid,Accede to requests or demands for political reform,0,22,0.0
Provide humanitarian aid,"Appeal for easing of economic sanctions, boycott, or embargo",0,22,0.0
Provide humanitarian aid,Threaten to halt negotiations,0,22,0.0
Provide humanitarian aid,Demand judicial cooperation,2,22,0.09090909090909091
Provide humanitarian aid,Carry out car bombing,1,22,0.045454545454545456
Use tactics of violent repression,Engage in violent protest for rights,4,27,0.14814814814814814
Use tactics of violent repression,Demand political reform,0,27,0.0
Use tactics of violent repression,Demand judicial cooperation,1,27,0.037037037037037035
Occupy territory,Accede to demands for rights,2,28,0.07142857142857142
Occupy territory,Reject request for military aid,0,28,0.0
Occupy territory,Receive inspectors,0,28,0.0
"Return, release person(s)",Demand humanitarian aid,0,40,0.0
"Return, release person(s)","Express intent to ease economic sanctions, boycott, or embargo",0,40,0.0
"Return, release person(s)","Appeal for easing of economic sanctions, boycott, or embargo",0,40,0.0
"Return, release person(s)",Engage in violent protest for rights,0,40,0.0
"Return, release person(s)",Threaten to halt negotiations,0,40,0.0
"Return, release person(s)",Demand political reform,1,40,0.025
"Return, release person(s)",Demand judicial cooperation,0,40,0.0
"Return, release person(s)",Engage in mass expulsion,1,40,0.025
"Return, release person(s)",Carry out roadside bombing,0,40,0.0
Coerce,Demand humanitarian aid,0,12,0.0
Express intent to provide military aid,Demand humanitarian aid,0,14,0.0
Express intent to cooperate economically,Express intent to cooperate on intelligence,0,7,0.0
Express intent to cooperate economically,Reject judicial cooperation,0,7,0.0
Deny responsibility,Demand policy change,0,27,0.0
Deny responsibility,Reject economic cooperation,0,27,0.0
Deny responsibility,Halt mediation,0,27,0.0
Receive deployment of peacekeepers,"Express intent to change institutions, regime",0,2,0.0
Expel or deport individuals,Engage in violent protest for rights,0,13,0.0
Expel or deport individuals,Demand judicial cooperation,0,13,0.0
Expel or deport individuals,Demand policy change,0,13,0.0
Expel or deport individuals,Reject economic cooperation,0,13,0.0
Expel or deport individuals,Carry out car bombing,0,13,0.0
Confiscate property,Demand military aid,0,20,0.0
Confiscate property,Demand judicial cooperation,1,20,0.05
Accuse of aggression,Violate ceasefire,2,2,1.0
Physically assault,Engage in violent protest for rights,3,30,0.1
Physically assault,Demand judicial cooperation,0,30,0.0
Retreat or surrender militarily,Demand military aid,0,2,0.0
Demand diplomatic cooperation (such as policy support),Accede to demands for rights,0,7,0.0
"Reject proposal to meet, discuss, or negotiate",Demand mediation,0,6,0.0
Express intent to provide humanitarian aid,"Express intent to ease economic sanctions, boycott, or embargo",0,10,0.0
Express intent to provide humanitarian aid,"Appeal for easing of economic sanctions, boycott, or embargo",0,10,0.0
Express intent to provide humanitarian aid,Threaten to halt negotiations,0,10,0.0
Express intent to provide humanitarian aid,Reject judicial cooperation,0,10,0.0
Express intent to provide humanitarian aid,Demand policy change,0,10,0.0
Express intent to provide humanitarian aid,Reject economic cooperation,0,10,0.0
Consider policy option,"Appeal for easing of economic sanctions, boycott, or embargo",0,11,0.0
Consider policy option,Demand military aid,0,11,0.0
Consider policy option,Threaten to halt negotiations,0,11,0.0
Consider policy option,Demand policy change,0,11,0.0
Consider policy option,Reject economic cooperation,0,11,0.0
Mobilize or increase police power,Demand military aid,2,5,0.4
Mobilize or increase police power,Receive inspectors,0,5,0.0
Sexually assault,Accede to demands for rights,0,13,0.0
Sexually assault,Demand judicial cooperation,0,13,0.0
Demonstrate military or police power,"Express intent to ease economic sanctions, boycott, or embargo",1,7,0.14285714285714285
Demonstrate military or police power,"Appeal for easing of economic sanctions, boycott, or embargo",0,7,0.0
Demonstrate military or police power,Demand military aid,0,7,0.0
Demonstrate military or police power,Threaten to halt negotiations,0,7,0.0
Provide military aid,Demand military aid,0,11,0.0
"Reject plan, agreement to settle dispute",Accede to demands for rights,0,6,0.0
"Reject plan, agreement to settle dispute","Express intent to ease economic sanctions, boycott, or embargo",0,6,0.0
"Reject plan, agreement to settle dispute","Appeal for easing of economic sanctions, boycott, or embargo",1,6,0.16666666666666666
"Reject plan, agreement to settle dispute",Threaten to halt negotiations,1,6,0.16666666666666666
"Reject plan, agreement to settle dispute",Reject judicial cooperation,0,6,0.0
"Reject plan, agreement to settle dispute",Accede to demands for change in policy,0,6,0.0
Yield,"Express intent to ease economic sanctions, boycott, or embargo",0,17,0.0
Yield,Violate ceasefire,0,17,0.0
Yield,Obstruct passage to demand leadership change,0,17,0.0
"Obstruct passage, block",Engage in mass expulsion,0,1,0.0
Express intent to de-escalate military engagement,Demand military aid,0,1,0.0
Express intent to de-escalate military engagement,Violate ceasefire,0,1,0.0
Appeal for military aid,Accede to demands for rights,1,3,0.3333333333333333
Appeal to others to meet or negotiate,Accede to demands for rights,0,2,0.0
Appeal for economic cooperation,Accede to demands for rights,0,2,0.0
Threaten with military force,Accede to demands for rights,0,14,0.0
"Accuse of crime, corruption",Accede to demands for rights,0,10,0.0
Appeal to yield,Accede to demands for rights,0,2,0.0
Accede to demands for change in leadership,Accede to demands for rights,0,4,0.0
Appeal for aid,Accede to demands for rights,0,1,0.0
Appeal to engage in or accept mediation,Accede to demands for rights,2,6,0.3333333333333333
Accede to demands for rights,Demand policy change,1,3,0.3333333333333333
Accede to demands for rights,Reject economic cooperation,1,3,0.3333333333333333
Receive deployment of peacekeepers,Express intent to provide military protection or peacekeeping,1,2,0.5
Provide military protection or peacekeeping,Receive deployment of peacekeepers,3,3,1.0
Receive deployment of peacekeepers,Provide military protection or peacekeeping,2,2,1.0
Receive deployment of peacekeepers,Reduce or stop military assistance,1,2,0.5
Receive deployment of peacekeepers,Halt mediation,0,2,0.0
Receive deployment of peacekeepers,Accede to demands for change in policy,0,2,0.0
"Declare truce, ceasefire",Engage in mass expulsion,0,5,0.0
Express accord,"Express intent to ease economic sanctions, boycott, or embargo",0,9,0.0
fight with artillery and tanks,"Express intent to ease economic sanctions, boycott, or embargo",0,3,0.0
Appeal for rights,"Express intent to ease economic sanctions, boycott, or embargo",0,2,0.0
Coerce,Accede to requests or demands for political reform,2,12,0.16666666666666666
Coerce,Demand political reform,0,12,0.0
Express intent to settle dispute,Express intent to cooperate on intelligence,0,5,0.0
Express intent to settle dispute,Reject judicial cooperation,0,5,0.0
Express intent to settle dispute,Halt mediation,1,5,0.2
Express accord,Engage in mass expulsion,1,9,0.1111111111111111
Rally opposition against,Demand mediation,1,12,0.08333333333333333
Demand change in leadership,Conduct hunger strike,0,12,0.0
Express intent to provide military aid,Demand military aid,1,14,0.07142857142857142
Increase police alert status,Receive inspectors,0,2,0.0
Give ultimatum,Engage in violent protest for rights,0,2,0.0
Give ultimatum,Demand judicial cooperation,0,2,0.0
Give ultimatum,Obstruct passage to demand leadership change,0,2,0.0
Provide military protection or peacekeeping,Demand military aid,0,3,0.0
Employ aerial weapons,Carry out car bombing,1,10,0.1
Appeal to yield,"Appeal for easing of economic sanctions, boycott, or embargo",0,2,0.0
fight with artillery and tanks,"Appeal for easing of economic sanctions, boycott, or embargo",0,3,0.0
Appeal for release of persons or property,"Appeal for easing of economic sanctions, boycott, or embargo",1,5,0.2
Engage in judicial cooperation,"Appeal for easing of economic sanctions, boycott, or embargo",0,2,0.0
Appeal to yield,Threaten to halt negotiations,0,2,0.0
fight with artillery and tanks,Engage in violent protest for rights,0,3,0.0
fight with artillery and tanks,Threaten to halt negotiations,0,3,0.0
Decline comment,Demand judicial cooperation,0,5,0.0
"Impose blockade, restrict movement",Receive inspectors,1,1,1.0
Appeal for release of persons or property,Threaten to halt negotiations,1,5,0.2
Accuse of war crimes,Violate ceasefire,1,1,1.0
Engage in judicial cooperation,Threaten to halt negotiations,0,2,0.0
"Investigate crime, corruption",Demand judicial cooperation,0,7,0.0
Demand de-escalation of military engagement,Engage in mass expulsion,0,1,0.0
